20
11; 37; -45; -64; 55; 65; -51; 8; -58; -37; 44; 71; 40; 33; -41; 91; 30; -51; -66; 57; -48
-13; 18; -28; 4; -40; -82; -100; -42; -15; -63; 88; 53; 88; 18; -95; 86; 26; 63; -28; 54; 36
92; -15; 3; -74; 98; -32; 72; 13; -96; 24; 72; 49; 69; -4; 57; -55; -85; 39; -46; 29; 5
-83; 33; -36; 3; -59; -67; -81; 50; -77; -49; 46; -4; 36; 81; 78; -86; 15; -62; 26; -89; 26
13; -63; 22; -15; 33; -14; -56; 82; -48; 21; 77; 5; 95; -12; -35; -53; 62; 71; 79; -76; -25
51; -47; 25; -74; -73; -66; -63; -19; 52; 59; 80; -41; -27; -16; 11; 15; -48; 6; -92; 35; -66
9; -52; -37; 85; 69; -73; -19; -23; -3; -30; 38; -68; -24; 27; 69; -16; 39; -45; -25; 94; 19
-79; 41; 18; -8; -90; 64; -60; -47; -27; -94; 67; -76; -76; -57; -70; 21; -39; -30; 67; 86; -82
-19; 67; 28; -5; 11; 77; 70; -20; -90; -7; 86; -17; 99; 76; 34; -20; 83; -74; 31; 68; -67
80; -30; 55; -40; -39; -54; 27; 70; -34; -51; 93; -87; -92; -91; -57; -71; 59; -42; -35; 15; 30
80; -76; -68; -64; -48; 94; -52; -28; 66; -61; 72; -8; 20; -58; -73; 47; -21; 14; -7; 52; -95
-30; -91; 17; 71; -95; -74; -97; -35; -22; 86; -46; -47; 19; 58; 84; 92; 46; -64; 79; 11; -67
1; 26; 98; 96; -59; -44; -85; 80; 3; -91; 24; 56; -88; 3; -22; 87; -95; 84; -78; -78; 35
-80; 0; 46; -64; -80; -11; 79; -89; 23; 86; 77; 3; 84; -86; -96; 39; 2; -43; 3; -49; 31
-32; 20; 68; -23; -19; -67; 100; 32; 3; 9; -15; -88; -37; 92; -100; 43; 33; -41; 38; -67; 10
-35; -24; -58; -27; 10; -60; -74; 22; -94; -13; 87; 47; -95; 92; -99; 43; 27; -59; -51; 50; 31
3; -66; -44; 48; 69; -52; 31; -78; 87; 7; -73; 51; -91; 52; 77; -41; -60; 93; 6; 95; 8
25; -67; -76; 15; -62; 35; -56; 89; 10; -43; 66; 12; 25; 11; 12; 98; 82; 93; 38; -31; -45
76; 40; -93; 89; 38; -61; 46; -62; 94; -21; 56; -45; -68; 51; -55; 32; 8; 33; 13; -30; 72
27; 25; 44; 12; -12; -6; 89; -47; 14; 96; -60; -8; 50; 67; 63; -100; 32; 76; -12; 81; -59
